,chain,hs_lat,hs_lon,time,iteration,model,plateid
0,Reunion,-11.223108815939154,63.23733216834832,70.0,0,Continent_frame,709
1,Reunion,-12.806696965468984,62.059974406265205,60.0,0,Continent_frame,709
2,Reunion,-13.088080751132384,61.81427432024775,50.0,0,Continent_frame,709
3,Reunion,-14.354789045501601,60.290050320514084,40.0,0,Continent_frame,709
4,Reunion,-18.57233822513764,58.87074088413574,30.0,0,Continent_frame,709
5,Reunion,-19.9827180597876,57.69442145971538,20.0,0,Continent_frame,709
6,Reunion,-19.73168535291983,56.675898726643055,10.0,0,Continent_frame,709
7,Reunion,-21.0,56.0,0.0,0,Continent_frame,709
8,Reunion,-8.425516318932889,62.78074517775898,70.0,1,Continent_frame,709
9,Reunion,-10.724699933588747,61.401100611865104,60.0,1,Continent_frame,709
10,Reunion,-10.639864962674725,61.3027306628431,50.0,1,Continent_frame,709
11,Reunion,-11.885452562064563,60.1797434116863,40.0,1,Continent_frame,709
12,Reunion,-17.574520295207854,58.754820316365155,30.0,1,Continent_frame,709
13,Reunion,-19.35531581055102,57.54677707540855,20.0,1,Continent_frame,709
14,Reunion,-19.49864819857093,56.60564457421529,10.0,1,Continent_frame,709
15,Reunion,-21.0,56.0,0.0,1,Continent_frame,709
16,Reunion,-7.869676447227215,62.96124783174074,70.0,2,Continent_frame,709
17,Reunion,-9.786323385426323,61.53531081153458,60.0,2,Continent_frame,709
18,Reunion,-9.697000181975785,61.39998039477415,50.0,2,Continent_frame,709
19,Reunion,-11.137386066402001,60.13354765340376,40.0,2,Continent_frame,709
20,Reunion,-16.831153374494313,58.70126145447985,30.0,2,Continent_frame,709
21,Reunion,-19.35744682379318,57.60800552944535,20.0,2,Continent_frame,709
22,Reunion,-19.127163875590263,56.53367342537162,10.0,2,Continent_frame,709
23,Reunion,-21.0,56.0,0.0,2,Continent_frame,709
24,Reunion,-10.484333845083887,63.48165582747648,70.0,3,Continent_frame,709
25,Reunion,-11.906696142020897,62.523893498073846,60.0,3,Continent_frame,709
