Chain;Age;Error;Lat;Lon;Plateid;Source;ref_lat;ref_lon
Kerguelen;0;0;-53.1;72.51666667;802;O'neill 2005;-53.1;72.51666667
Kerguelen;34.4;0.6;-46.27666667;68.49166667;802;O'neill 2005;-53.1;72.51666667
Kerguelen;37.8;1.3;-30.97;87.895;501;O'neill 2005;-53.1;72.51666667
Kerguelen;43.2;0.5;-26.355;87.59666667;501;O'neill 2005;-53.1;72.51666667
Kerguelen;57.9;1.6;-17.02333333;88.18166667;501;O'neill 2005;-53.1;72.51666667
Kerguelen;60.9;1.3;-11.33833333;88.71833333;501;O'neill 2005;-53.1;72.51666667
Kerguelen;81.8;2.6;5.383333333;90.36166667;501;O'neill 2005;-53.1;72.51666667
Kerguelen;118.2;0.3;24;88;501;O'neill 2005;-53.1;72.51666667
Tristan;0.64;0.6;-37.1;-12.3;701;Doubrovine 2012;-37.1;-12.3
Tristan;29.9;1.4;-37.1;-7.78;701;Doubrovine 2012;-37.1;-12.3
Tristan;39;1.2;-34.29;-5.02;701;Doubrovine 2012;-37.1;-12.3
Tristan;40.3;2;-34.99;-4.5;701;Doubrovine 2012;-37.1;-12.3
Tristan;52;0.6;-34.34;-1.57;701;Doubrovine 2012;-37.1;-12.3
Tristan;63.5;1.5;-32.97;-0.02;701;Doubrovine 2012;-37.1;-12.3
Tristan;80.2;1.8;-29.08;2.99;701;Doubrovine 2012;-37.1;-12.3
Tristan;117;4;-19.65;9.05;701;Doubrovine 2012;-37.1;-12.3
Tristan;131;2;-20.75;14;701;Doubrovine 2012;-37.1;-12.3
Tristan;133;2;-23.5;-52;201;Doubrovine 2012;-37.1;-12.3
Reunion;0;2;-21.23;55.71;709;Doubrovine 2012;-21.23;55.71
Reunion;7.5;7.5;-20.3;57.5;709;Doubrovine 2012;-21.23;55.71
Reunion;31.5;0.6;-15.45;60.42;709;Doubrovine 2012;-21.23;55.71
Reunion;32.9;1.4;-13.11;61.37;709;Doubrovine 2012;-21.23;55.71
Reunion;47.5;7.2;-9.8;60.15;709;Doubrovine 2012;-21.23;55.71
Reunion;64.1;2.2;-7.55;59.02;709;Doubrovine 2012;-21.23;55.71
Reunion;49.6;1.2;-4.19;73.39;501;Doubrovine 2012;-21.23;55.71
Reunion;57.5;5;5.08;73.83;501;Doubrovine 2012;-21.23;55.71
Reunion;65.5;1;20;75;501;Doubrovine 2012;-21.23;55.71
Hawaii;0.375;0.375;20.13;204.22;901;Doubrovine 2012;20.13;204.22
Hawaii;1.405;0.2775;20.91;203.43;901;Doubrovine 2012;20.13;204.22
Hawaii;2.6;0.1;21.33;202.22;901;Doubrovine 2012;20.13;204.22
Hawaii;3.7;0.1;21.51;201.85;901;Doubrovine 2012;20.13;204.22
Hawaii;5.1;0.2;22.08;200.5;901;Doubrovine 2012;20.13;204.22
Hawaii;7.2;0.3;23.05;198.08;901;Doubrovine 2012;20.13;204.22
Hawaii;9.6;0.8;23.19;196.89;901;Doubrovine 2012;20.13;204.22
Hawaii;10.3;0.4;23.58;195.3;901;Doubrovine 2012;20.13;204.22
Hawaii;13;0.6;24;193.32;901;Doubrovine 2012;20.13;204.22
Hawaii;19.9;0.3;25.83;188.17;901;Doubrovine 2012;20.13;204.22
