No.;Kimberlite_Occurrence;Country;Longitude;Latitude;Geochronology_Method_(minerals_etc);Geochronology_Method_(isotope_system);Age
402;191X084;Angola;17.08915;-11.18863;Zircon;U-Th-Pb;252
406;191X103;Angola;17.09192;-11.18418;Zircon;U-Th-Pb;250
412;Lubia-08_(191/X030);Angola;17.1849;-11.1157;Kelyphite_after_Garnet;Ar-Ar;245
422;Lubia-06_191/(X032);Angola;17.17912;-11.136;Kelyphite_after_Garnet;Ar-Ar;239
425;191X035;Angola;17.18841;-11.11025;Zircon;U-Th-Pb;238
430;191X141;Angola;17.14307;-11.23623;Zircon;U-Th-Pb;236
431;LUBIA;Angola;17.15589;-11.19265;Zircon;U-Th-Pb;236
432;Mbueto-06_(191/X135);Angola;17.08417;-11.18795;Zircon;U-Th-Pb;236
436;191X104;Angola;17.08413;-11.19157;Zircon;U-Th-Pb;235
439;Mbueto-04_(191/X100);Angola;17.09121;-11.19376;Zircon;U-Th-Pb;233
441;191X139;Angola;17.1256;-11.1434;Zircon;U-Th-Pb;229
449;191X008;Angola;17.1274;-11.2047;Zircon;U-Th-Pb;222
451;Lubia-10_(191/X142);Angola;17.14507;-11.16548;Zircon;U-Th-Pb;221
452;Mbueto-05_(191/X101);Angola;17.08612;-11.19574;Zircon;U-Th-Pb;221
455;191/X148;Angola;17.11843;-11.15527;Zircon;U-Th-Pb;216
566;86X039;Angola;20.8134;-8.4204;Phlogopite;Rb-Sr;154
617;AC1;Angola;19.904;-9.877;Perovskite;U-Th-Pb;145
620;104X037;Angola;20.56434;-8.53255;Zircon;U-Th-Pb;144
621;86X179;Angola;20.6725;-8.3778;Zircon;U-Th-Pb;144
630;86X371;Angola;20.99769;-8.46313;Perovskite;U-Th-Pb;141
639;Catoca;Angola;20.3022;-9.4039;Zircon;U-Th-Pb;139
644;86X179;Angola;20.6725;-8.3778;Zircon;U-Th-Pb;139
646;121X015;Angola;20.3702;-9.4193;Zircon;U-Th-Pb;138
647;86X059;Angola;20.6893;-8.374;Zircon;U-Th-Pb;138
649;86X281;Angola;20.56244;-8.26351;Perovskite;U-Th-Pb;137
650;86X017;Angola;20.6786;-8.3775;Perovskite;U-Th-Pb;136
651;86X129;Angola;20.7682;-8.345;Zircon;U-Th-Pb;136
652;AC139;Angola;19.943;-9.91;Perovskite;U-Th-Pb;136
653;Nova_Lisboa-01;Angola;15.7728;-12.3431;Zircon;U-Th-Pb;136
655;121X007;Angola;20.3771;-9.4063;Zircon;U-Th-Pb;135
656;86X114;Angola;20.6458;-8.2166;Zircon;U-Th-Pb;135
657;86X157;Angola;20.7478;-8.4007;Zircon;U-Th-Pb;135
658;Camutue_West;Angola;20.8104;-8.4266;Kelyphite_after_Garnet;Ar-Ar;135
659;86X311;Angola;20.52398;-8.27775;Zircon;U-Th-Pb;135
660;86X005;Angola;20.77813;-8.1944;Perovskite;U-Th-Pb;134
661;86X104;Angola;20.5853;-8.1464;Zircon;U-Th-Pb;134
662;86X319;Angola;20.69746;-8.36653;Perovskite;U-Th-Pb;134
663;Nova_Lisboa-17;Angola;15.8292;-12.56667;Zircon;U-Th-Pb;134
664;Val_Do_Queve;Angola;15.83333;-12.56667;Zircon;U-Th-Pb;134
666;86X078;Angola;20.6423;-8.223;Zircon;U-Th-Pb;134
667;86X311;Angola;20.52398;-8.27775;Zircon;U-Th-Pb;134
668;86X014;Angola;20.6617;-8.3499;Zircon;U-Th-Pb;133
669;86X059;Angola;20.6893;-8.374;Zircon;U-Th-Pb;133
670;86X102;Angola;20.6494;-8.2397;Zircon;U-Th-Pb;133
671;86X338;Angola;20.78011;-8.19386;Zircon;U-Th-Pb;133
672;Caixepa;Angola;20.8214;-8.4118;Phlogopite/Biotite;Rb-Sr;133
673;Catoca;Angola;20.3022;-9.4039;Phlogopite/Biotite;Rb-Sr;133
674;Nova_Lisboa-01;Angola;15.7728;-12.3431;Zircon;Fission_Track;133
675;104X083;Angola;20.55877;-8.53571;Zircon;U-Th-Pb;132
676;86X042;Angola;20.98014;-8.45747;Perovskite;U-Th-Pb;132
677;86X177;Angola;20.6792;-8.2275;Zircon;U-Th-Pb;132
678;86X017;Angola;20.6786;-8.3775;Zircon;U-Th-Pb;131
679;86X314;Angola;20.7117;-8.37112;Zircon;U-Th-Pb;131
680;103X014;Angola;20.45137;-8.55687;Zircon;U-Th-Pb;131
681;121X005;Angola;20.2999;-9.4175;Phlogopite;Ar-Ar;131
682;86X060;Angola;20.7048;-8.3671;Zircon;U-Th-Pb;130
683;86X075;Angola;20.636;-8.3535;Kelyphite_after_Garnet;Ar-Ar;130
685;86X014;Angola;20.6617;-8.3499;Phlogopite;Rb-Sr;129
686;86X016;Angola;20.695;-8.3667;Perovskite;U-Th-Pb;129
687;86X075;Angola;20.636;-8.3535;Phlogopite;Rb-Sr;129
688;86X192;Angola;20.7242;-8.2853;Zircon;U-Th-Pb;129
689;86X323;Angola;20.69164;-8.37031;Zircon;U-Th-Pb;129
693;86X176;Angola;20.68509;-8.23326;Zircon;U-Th-Pb;128
694;121X005;Angola;20.2999;-9.4175;Kelyphite_after_Garnet;Ar-Ar;127
697;86X361;Angola;20.72496;-8.35344;Zircon;U-Th-Pb;126
698;121X015;Angola;20.3702;-9.4193;Kelyphite_after_Garnet;Ar-Ar;126
699;86X323;Angola;20.69164;-8.37031;Zircon;U-Th-Pb;126
700;86X323;Angola;20.69165;-8.37022;Perovskite;U-Th-Pb;126
702;86X448;Angola;20.72302;-8.4152;Zircon;U-Th-Pb;126
706;86X361;Angola;20.72496;-8.35344;Zircon;U-Th-Pb;124
707;121X007;Angola;20.3771;-9.4063;Kelyphite_after_Garnet;Ar-Ar;124
708;Catoca;Angola;20.3022;-9.4039;Zircon;U-Th-Pb;124
